Compte ,Client ,Secteurs Statistique,Catégorie,Secteurs clients,Consolidation Client,Gouvernorat
300231,S. T. I. R. ZARZOUNA,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,S. T. I. R.,BIZERTE
300791,DURAVIT TUNISIA BOULVARD DE L'ENVIRONNEMENT ZARZOUNA BIZERTE,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,DURAVIT TUNISIA,BIZERTE
301121,SANGHO VILLAGE DJERBA RTE TOURISTIQUE AGHIR DJERBA MIDOUN B.P 80,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTEL SANGHO VILLAGE DJERBA,MEDENINE
302261,MONTAZAH ABOU NAWES TABARKA,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTEL MONTAZAH ABOU NAWES TABARKA,JENDOUBA
304161,LA REVETTEMENT SA ZONE INDUSTRIELLE UTIQUE,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,LA REVETTEMENT SA,BIZERTE
305831,S.T.I. CORALIA CLUB PALM BEACH BP:383 HOUMT SOUK DJERBA,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,CORALIA CLUB PALM BEACH,MEDENINE
306001,ETANCHEITE TUNISIENNE DERBIGUM 10 RUE MUSTAPHA SFAR TUNIS BELVEDERE TUNIS,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,ETANCHEITE TUNISIENNE DERBIGUM,BEN AROUS
332061,MIN.ENS.SUP.RECH.SC.TECH.FACULTE DE MEDECINE DE SFAX RTE EL AIN KM 1 SFAX,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,FACULTE DE MEDECINE DE SFAX,SFAX
332151,MIN.EDUC.FORM.LYCEE ALI BOURGUIBA KALAA KEBIRA,EDUCATION NATIONALE,ADMINISTRATION,MIN.EDUC.,LYCEE ALI BOURGUIBA KALAA KEBIRA,SOUSSE
332221,MIN.EDUC.FORM.LYCEE SECONDAIRE DE SBEITLA SBEITLA,EDUCATION NATIONALE,ADMINISTRATION,MIN.EDUC.,LYCEE SECONDAIRE DE SBEITLA ,KASSERINE
332301,MIN.EDUC.FORM.LYCEE SECONDAIRE DE SOUASSI SOUASSI,EDUCATION NATIONALE,ADMINISTRATION,MIN.EDUC.,LYCEE SECONDAIRE DE SOUASSI,MAHDIA
332381,MIN.EDUC.FORM.LYCEE SECONDAIRE BOUHAJLA SIDI AMOR BOUHAJLA,EDUCATION NATIONALE,ADMINISTRATION,MIN.EDUC.,LYCEE SECONDAIRE BOUHAJLA,KAIROUAN
332401,MIN.EDUC.FORM.LYCEE SECONDAIRE DE RAKADA KAIROUAN,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,LYCEE SECONDAIRE DE RAKADA,KAIROUAN
332441,MIN.EDUC.FORM.LYCEE 9 AVRIL 1938 SIDI BOUZID,EDUCATION NATIONALE,ADMINISTRATION,MIN.EDUC.,LYCEE 9 AVRIL 1938,SIDI BOUZID
332471,MIN.ENS.SUP.RECH.SC.TECH.RESTAURANT UNIVERSITAIRE EL MANAR ROUTE AERODROME 2 SFAX,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,RESTAURANT UNIVERSITAIRE EL MANAR,SFAX
332481,MIN.ENS.SUP.RECH.SC.TECH.CITE UNIVERSITAIRE IBN CHABBAT SFAX,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,CITE UNIVERSITAIRE IBN CHABBAT,SFAX
332821,CITE UNIVERSITAIRE OKBA IBN NEFAA KAIROUAN,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,CITE UNIVERSITAIRE OKBA IBN NEFAA,KAIROUAN
332851,MIN.EDUC.FORM. ECOLE PREPARATOIRE 15 OCTOBRE 1963 SFAX,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,ECOLE PREPARATOIRE 15 OCTOBRE 1963,SFAX
332911,CITE UNIVERSITAIRE SIDI MARZOUK AVENUE JILANI EL HABIB ROUTE MEDENINE GABES,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,CITE UNIVERSITAIRE SIDI MARZOUK,GABES
333201,MIN.EDUC.FORM.LYCEE CITE DES JEUNES GAFSA,EDUCATION NATIONALE,ADMINISTRATION,MIN.EDUC.,LYCEE CITE DES JEUNES,GAFSA
333211,MIN.ENS.SUP.RECH.SC.TECH.FOYER DES ETUDIANTS TENIOUR R.COMMANDAT BEJAOUI SFAX,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,FOYER DES ETUDIANTS TENIOUR,SFAX
333301,INSTITUT SUPERIEUR AGRONOMIQUE DE CHOT MERIEM CHOTT MARIEM-SOUSSE,EDUCATION NATIONALE,ADMINISTRATION,MIN.EDUC.,INSTITUT SUPERIEUR AGRONOMIQUE DE CHOT MERIEM,SOUSSE
333331,ECOLE PREPARATOIRE CHERARDA CHERARDA,EDUCATION NATIONALE,ADMINISTRATION,MIN.EDUC.,ECOLE PREPARATOIRE CHERARDA,KAIROUAN
333441,MIN.ENS.SUP.RECH.SC.TECH.INSTITUT SUPERIEUR DE SPORT ET D'EDUCATION B.P 384 ROUTE AEROPORT KM 3.5 SFAX,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,INSTITUT SUPERIEUR DE SPORT ET D'EDUCATION,SFAX
333491,MIN.ENS.SUP.R.SC.T. CITE UNIV.SABRA RAKADA KAIROUAN,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,CITE UNIV.SABRA RAKADA,KAIROUAN
335011,MIN.AGRIC.R.H.CENTRE SECTORIEL DE FORMATION PROFESS AGRIC RTE.GREMDA KM 35-BP 241 BOUGHRARA - SFAX,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.AGRIC.ENV.RESS.HYD.,CENTRE SECTORIEL DE FORMATION PROFESS AGRIC,SFAX
335111,MIN.AGRIC.ENV.RESS.HYD.CENTRE .SECT.DE FORM.PROF.AGRIC. EN AMEN.PE BARROUTA - KAIROUAN,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.AGRIC.ENV.RESS.HYD.,CENTRE .SECT.DE FORM.PROF.AGRIC.,KAIROUAN
335191,MIN.AGRIC.ENV.RESS.HYD.C.F.P.A OUESLATIA,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.AGRIC.ENV.RESS.HYD.,C.F.P.A OUESLATIA,KAIROUAN
335341,MIN.AGRIC.ENV.RESS.HYD.C.F.P PECHES GABES,ADMINISTRATION GAZ,ADMINISTRATION,MIN.AGRIC.ENV.RESS.HYD.,C.F.P PECHES,GABES
336001,MIN.SANTE PUB.HOPITAL SADOK MOKADDEM DJERBA DJERBA,SANTE PUBLIQUE,ADMINISTRATION,MIN.SANTE PUB.,HOPITAL SADOK MOKADDEM DJERBA,MEDENINE
336011,MIN.SANTE PUB.HOPITAL REGIONAL DE ZARZIS ZARZIS,SANTE PUBLIQUE,ADMINISTRATION,MIN.SANTE PUB.,HOPITAL REGIONAL DE ZARZIS,MEDENINE
336041,MIN.SANTE PUB.HOPITAL REGIONAL SIDI BOUZID SIDI BOUZID,SANTE PUBLIQUE,ADMINISTRATION,MIN.SANTE PUB.,HOPITAL REGIONAL SIDI BOUZID,SIDI BOUZID
336081,MIN.SANTE PUB.HOPITAL HABIB BOURGUIBA MEDENINE,SANTE PUBLIQUE,ADMINISTRATION,MIN.SANTE PUB.,HOPITAL HABIB BOURGUIBA,MEDENINE
336111,MIN.SANTE PUB.HOPITAL REGIONAL IBN JAZZAR KAIOUAN,SANTE PUBLIQUE,ADMINISTRATION,MIN.SANTE PUB.,HOPITAL REGIONAL IBN JAZZAR,KAIROUAN
336252,MIN.SANTE PUB.HOPITAL REGIONAL METLAOUI METLAOUI,SANTE PUBLIQUE,ADMINISTRATION,MIN.SANTE PUB.,HOPITAL REGIONAL METLAOUI,GAFSA
336621,MIN.SANTE PUB.GROUPEMENT DE SANTE DE BASE AV. 05 AOUT SFAX,ADMINISTRATION GAZ,ADMINISTRATION,MIN.SANTE PUB.,GROUPEMENT DE SANTE DE BASE,SFAX
337071,MIN.SANTE PUB.HOPITAL H.BOURGUIBA C H U SFAX,ADMINISTRATION GAZ,ADMINISTRATION,MIN.SANTE PUB.,HOPITAL H.BOURGUIBA C H U SFAX,SFAX
351351,AISSA NOUAILI STATION SERVICE AGIL AV.HEDI SAIDI TUNIS,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,AISSA NOUAILI,TUNIS
352161,JOMAA HAJJI STATION SERVICE AGIL KERKENAH,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE HAJJI SERVICES,SFAX
352161,"SOCIETE HAJJI SERVICES SUARL ""FATMA HAJJI"" STATION SERVICE AGIL KERKENAH",DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE HAJJI SERVICES,SFAX
352511,AHMED LANDOULSI STATION SERVICE AGIL MNIHLA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,AHMED LANDOULSI,ARIANA
352512,AHMED LANDOULSI STATION SERVICE AGIL MNIHLA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,AHMED LANDOULSI,ARIANA
353911,MONCEF LAGHA S/S AGIL TEBOULBOU GABES,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,MONCEF LAGHA,GABES
361771,MIN.AGRIC.ENV.RESS.HYD.C F P A TAKELSA BP. 27 BIR M'ROUA TAKELSA,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.AGRIC.ENV.RESS.HYD.,C F P A TAKELSA,NABEUL
362052,MIN.SANTE PUB.HOPITAL LA RABTA LA RABTA TUNIS,ADMINISTRATION GAZ,ADMINISTRATION,MIN.SANTE PUB.,HOPITAL LA RABTA,TUNIS
362081,MIN.SANTE PUB.HOPITAL RAZI LA MANOUBA,SANTE PUBLIQUE,ADMINISTRATION,MIN.SANTE PUB.,HOPITAL RAZI,ARIANA
362111,MIN.SANTE PUB.HOPITAL REGIONAL DE ZAGHOUN ZAGHOUAN,SANTE PUBLIQUE,ADMINISTRATION,MIN.SANTE PUB.,HOPITAL REGIONAL DE ZAGHOUN,ZAGHOUAN
362461,MIN.SANTE PUB.HOPITAL CIRCONS. TEBOURBA TEBOURBA,ADMINISTRATION GAZ,ADMINISTRATION,MIN.SANTE PUB.,HOPITAL CIRCONS. TEBOURBA,ARIANA
362471,MIN.SANTE PUB.HOPITAL KHEREDINE KHEREDINE -TUNIS CARTHAGE-,ADMINISTRATION GAZ,ADMINISTRATION,MIN.SANTE PUB.,HOPITAL KHEREDINE,TUNIS
363071,MIN.INTER. DIRECTION DES MOYENS GENERAUX 26 AVENUE LA LIBERTE TUNIS,ADMINISTRATION GAZ,ADMINISTRATION,MIN.INTER.DEV.LOC.,DIRECTION DES MOYENS GENERAUX,TUNIS
363082,MIN.INTER.DEV.LOC.DIRECTION GLE.DE LA GARDE NATIONALE EL AOUINA,ADMINISTRATION GAZ,ADMINISTRATION,MIN.INTER.DEV.LOC.,DIRECTION GLE.DE LA GARDE NATIONALE EL AOUINA,TUNIS
363091,"GOUVERNORAT DE TUNIS RUE,DE ROME TUNIS",ADMINISTRATION GAZ,ADMINISTRATION,MIN.INTER.DEV.LOC.,GOUVERNORAT DE TUNIS,TUNIS
363321,MIN.INTER.DEV.LOC.ECOLE NAT. FORMATION AGENTS CADRES ACTIFS D SALAMBO,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.INTER.DEV.LOC.,ECOLE NAT. FORMATION AGENTS CADRES ACTIFS D SALAMBO,TUNIS
363451,CENTRE DE REEDUCATION DES MINEURS EL M'GHIRA EL M'GHIRA _ FOUCHANA,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.JUSTICE DROITS HOMME,CENTRE DE REEDUCATION DES MINEURS EL M'GHIRA,BEN AROUS
364021,MIN.INTER.DEV.LOC.CENTRE D'ACCEUIL ORIENTATION RTE ZAGHOUAN EL OUARDIA,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.INTER.DEV.LOC.,CENTRE D'ACCEUIL ORIENTATION,TUNIS
364581,MIN.EMPLOICENTRE SECTORIEL DE FORM.EN TRAV.PUB. SIDI ALI HATTAB - MORNAGUIA -,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.JUSTICE DROITS HOMME,CENTRE SECTORIEL DE FORM.EN TRAV.PUB.,ARIANA
365831,MIN.AGRIC.ENV.RESS.HYD.CENTRE DE FORM DE PROF.AGRIC.DE ZARKINE MARETH,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.JUSTICE DROITS HOMME,CENTRE DE FORM DE PROF.AGRIC.DE ZARKINE,GABES
365951,MIN.EDUC.FORM.LYCEE SECONDAIRE EL FAHS FAHS,EDUCATION NATIONALE,ADMINISTRATION,MIN.EDUC.,LYCEE SECONDAIRE EL FAHS,ZAGHOUAN
366071,MIN.DEF.NAT.ACADEMIE MILITAIRE FONDOK JEDID,ARMEE GAZ,ADMINISTRATION,MIN.DEF.NAT.,ACADEMIE MILITAIRE FONDOK JEDID,NABEUL
366091,MIN.DEF.NAT.ARMEE DE L'AIR BASE AERIENNE EL AOUINA EL AOUINA,ARMEE GAZ,ADMINISTRATION,MIN.DEF.NAT.,ARMEE DE L'AIR BASE AERIENNE EL AOUINA,TUNIS
366261,LYCEE HANNIBAL TEBOURBA TEBOURBA,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,LYCEE HANNIBAL TEBOURBA,ARIANA
366581,MIN.EDUC.FORM.DIRECTION REGIONALE DE L'ENSEIGNEMENT ARIANA ARIANA,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,DIRECTION REGIONALE DE L'ENSEIGNEMENT ARIANA,ARIANA
366660,GLOBAL LIGHTING Z.I EL BATEN II BP. 174 KAIROUAN,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,GLOBAL LIGHTING,KAIROUAN
366691,MIN.EDUC. LYCEE IBN CHARAF ENNADHOUR - ZAGHOUAN,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,LYCEE IBN CHARAF ENNADHOUR,ZAGHOUAN
366711,MIN.EDUC.FORM.LYCEE ABDELAZIZ KHOUJA KELIBIA AVENUE DES MARTYRS KELIBIA,EDUCATION NATIONALE,ADMINISTRATION,MIN.EDUC.,LYCEE ABDELAZIZ KHOUJA KELIBIA,NABEUL
367061,MIN.TECH.COMM.TRANSP.ECOLE AVIATION CIVILE BORJ EL AMRI,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,ECOLE AVIATION CIVILE BORJ EL AMRI,ARIANA
368141,MIN.AGRIC.ENV.RESS.HYD.ECOLE NATIONALE MEDECINE VETERINAIRE SIDI THABET,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,ECOLE NATIONALE MEDECINE VETERINAIRE SIDI THABET,ARIANA
368221,MIN.AGRIC.ENV.RESS.HYD.CFPR VULGARISATION ELEVAGE SIDI THABET,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,CFPR VULGARISATION ELEVAGE SIDI THABET,ARIANA
368481,C.F.P AGRICOLE DANS LE SECTEUR DE L'AVICULTURE SIDI THABET,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,C.F.P AGRICOLE DANS LE SECTEUR DE L'AVICULTURE SIDI THABET,ARIANA
372011,MIN.SANTE PUB.HOPITAL M'HAMED BOURGUIBA DU KEF LE KEF,ADMINISTRATION GAZ,ADMINISTRATION,MIN.SANTE PUB.,HOPITAL M'HAMED BOURGUIBA DU KEF,LE KEF
372061,MIN.SANTE PUB.HOPITAL REGIONAL DE SILIANA SILIANA,SANTE PUBLIQUE,ADMINISTRATION,MIN.SANTE PUB.,HOPITAL REGIONAL DE SILIANA,SILIANA
372081,MIN.SANTE PUB.HOPITAL DE CIRCONS. DE CIRCONS DE SAKIET SI SAKIET SIDI YOUSSEF,ADMINISTRATION GAZ,ADMINISTRATION,MIN.SANTE PUB.,HOPITAL DE CIRCONS. SAKIET SIDI YOUSSEF,LE KEF
372191,MIN.SANTE PUB.HOPITAL REGIONAL DE JENDOUBA JENDOUBA,SANTE PUBLIQUE,ADMINISTRATION,MIN.SANTE PUB.,HOPITAL REGIONAL DE JENDOUBA,JENDOUBA
372331,MIN.SANTE PUB.HOP. REGIONAL MENZEL BOURGUIBA MENZEL BOURGUIBA,ADMINISTRATION GAZ,ADMINISTRATION,MIN.SANTE PUB.,HOP. REGIONAL MENZEL BOURGUIBA,BIZERTE
372351,MIN.SANTE PUB.HOPITAL CIRCONS. DE MATEUR MATEUR,ADMINISTRATION GAZ,ADMINISTRATION,MIN.SANTE PUB.,HOPITAL CIRCONS. DE MATEUR,BIZERTE
372441,MIN.SANTE PUB.HOPITAL HASSEN BELKHOUJA RAS JEBEL,ADMINISTRATION GAZ,ADMINISTRATION,MIN.SANTE PUB.,HOPITAL HASSEN BELKHOUJA RAS JEBEL,BIZERTE
373481,MIN.INTER.DEV.LOC.GOUVERNORAT DE SILIANA SILIANA,ADMINISTRATION GAZ,ADMINISTRATION,MIN.INTER.DEV.LOC.,GOUVERNORAT DE SILIANA,SILIANA
373511,MIN.JUSTICE DROITS HOMMEPRISON DE BORJ ERROUMI BIZERTE,ADMINISTRATION GAZ,ADMINISTRATION,MIN.JUSTICE DROITS HOMME,PRISON DE BORJ ERROUMI,BIZERTE
373521,MIN.JUSTICE DROITS HOMMEPRISON CIVIL DE NADHOUR NADHOUR - BIZERTE-,ADMINISTRATION GAZ,ADMINISTRATION,MIN.JUSTICE DROITS HOMME,PRISON CIVIL DE NADHOUR,BIZERTE
373641,MIN.JUSTICE DROITS HOMMEPRISON CIVILE EDDYR EDDYR - LE KEF,ADMINISTRATION GAZ,ADMINISTRATION,MIN.JUSTICE DROITS HOMME,PRISON CIVILE EDDYR,LE KEF
374291,CENTRE DE FORMATION ET D'APPRENTISSAGE DE BIZERTE AVENUE FARHAT HACHED OUED EL MARJ BIZERTE,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,CENTRE DE FORMATION ET D'APPRENTISSAGE DE BIZERTE,BIZERTE
375061,MIN.EDUC.FORM.LYCEE 2 MARS 1934 MATEUR,EDUCATION NATIONALE,ADMINISTRATION,MIN.EDUC.,LYCEE 2 MARS 1934 MATEUR,BIZERTE
375231,LYCEE SECONDAIRE IBN SINA MENZEL BOURGUIBA,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,LYCEE SECONDAIRE IBN SINA MENZEL BOURGUIBA,BIZERTE
375291,MIN.EDUC.FORM.ECOLE PREP. HABIB BOURGUIBA TEBOURSOUK,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,ECOLE PREP. HABIB BOURGUIBA TEBOURSOUK,BEJA
375351,MIN.EDUC.FORM.LYCEE SECONDAIRE DE GHAR DIMAOU GHAR DIMAOU,EDUCATION NATIONALE,ADMINISTRATION,MIN.EDUC.,LYCEE SECONDAIRE DE GHAR DIMAOU,JENDOUBA
375361,MIN.EDUC.FORM.LYCEE SECONDAIRE RUE AHMED AMARA LE KEF,EDUCATION NATIONALE,ADMINISTRATION,MIN.EDUC.,LYCEE SECONDAIRE RUE AHMED AMARA,LE KEF
375401,MIN.ENS.SUP.RECH.SC.TECH.ECLOLE PREPARATOIRE EL KSOUR EL KSOUR,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,ECLOLE PREPARATOIRE EL KSOUR,LE KEF
375531,COMMISSARIAT REGIONAL DE L'ENSEIGNEMENT BIZERTE BIZERTE,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,COMMISSARIAT REGIONAL DE L'ENSEIGNEMENT BIZERTE,BIZERTE
375681,MIN.ENS.SUP.RECH.SC.TECH.RESTAURANT UNIVERSITAIRE BIZERTE BIZERTE,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,RESTAURANT UNIVERSITAIRE BIZERTE,BIZERTE
375691,MIN.EDUC. LYCEE DE BIZERTE AIN MERIAM BIZERTE,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,LYCEE DE BIZERTE AIN MERIAM,BIZERTE
375711,MIN.EDUC.FORM.LYCEE SEC.IBN ZAIDOUN TESTOUR,EDUCATION NATIONALE,ADMINISTRATION,MIN.EDUC.,LYCEE SEC.IBN ZAIDOUN TESTOUR,BEJA
375751,MIN.EDUC.FORM.ECOLE PREP.IBN ROCHD TESTOUR,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,ECOLE PREP.IBN ROCHD TESTOUR,BEJA
375761,MIN.EDUC.FORM.LYCEE SECONDAIRE PILOTE 5 RUE SALAH AYACH LE KEF,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,LYCEE SECONDAIRE PILOTE,LE KEF
375791,MIN.EDUC.FORM.LYCEE SECONDAIRE 8 FEVRIER 1958 SAKIET SIDI YOUSSEF,EDUCATION NATIONALE,ADMINISTRATION,MIN.EDUC.,LYCEE SECONDAIRE 8 FEVRIER 1958 SAKIET SIDI YOUSSEF,LE KEF
376541,MIN.DEF.NAT.BASE AERIENNE DE SIDI AHMED SIDI AHMED,ARMEE GAZ,ADMINISTRATION,MIN.DEF.NAT.,BASE AERIENNE DE SIDI AHMED,BIZERTE
376551,MIN.DEF.NAT. CENTRE DE LA FORMATION DE LA MARINE BIZERTE,EDUCATION NATIONALE,ADMINISTRATION,MIN.DEF.NAT.,CENTRE DE LA FORMATION DE LA MARINE BIZERTE,BIZERTE
376601,ECOLE DES CAPOREAUX METLINE,ARMEE GAZ,ADMINISTRATION,MIN.DEF.NAT.,ECOLE DES CAPOREAUX METLINE,BIZERTE
376681,MIN.DEF.NAT.REGIMENT D'ARTILLERIE CERCLE MESS MIXTE MENZEL BOURGUIBA,ARMEE GAZ,ADMINISTRATION,MIN.DEF.NAT.,REGIMENT D'ARTILLERIE CERCLE MESS MIXTE MENZEL BOURGUIBA,BIZERTE
376691,MIN.DEF.NAT.GROUPEMENT DES FORCES SPECIALES ROUMADIA MENEL JEMIL,ARMEE GAZ,ADMINISTRATION,MIN.DEF.NAT.,GROUPEMENT DES FORCES SPECIALES ROUMADIA MENEL JEMIL,BIZERTE
376711,16 EME RIMECA CASERNE AIN DRAHAM AIN DRAHEM,ARMEE GAZ,ADMINISTRATION,MIN.DEF.NAT.,16 EME RIMECA CASERNE AIN DRAHAM,JENDOUBA
376731,MIN.DEF.NAT.BASE AERIENNE JBEL KBIR JEBEL KEBIR,ARMEE GAZ,ADMINISTRATION,MIN.DEF.NAT.,BASE AERIENNE JBEL KBIR,BIZERTE
376741,MIN.AGRIC.ENV.RESS.HYD.ECOLE SUPERIEURE D'AGRICULTURE LE KEF,EDUCATION NATIONALE,ADMINISTRATION,MIN.AGRIC.ENV.RESS.HYD.,ECOLE SUPERIEURE D'AGRICULTURE LE KEF,LE KEF
380001,HOUCINE AYARI AV.7NOVEMBRE ROUHIA SBIBA KASSERINE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,HOUCINE AYARI,KASSERINE
380003,HOUCINE AYARI AV.7NOVEMBRE ROUHIA SBIBA KASSERINE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,HOUCINE AYARI,KASSERINE
380020,SOCIETE CHARFI 1.RUE SABRA KAIROUAN,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE CHARFI,KAIROUAN
380021,SOCIETE CHARFI 1.RUE SABRA KAIROUAN,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE CHARFI,KAIROUAN
380031,SOCIETE COMMERCIALE EL AHBAB BOULEVARD 9 AVRIL KORBA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE COMMERCIALE EL AHBAB,NABEUL
380032,SOCIETE COMMERCIALE EL AHBAB BOULEVARD 9 AVRIL KORBA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE COMMERCIALE EL AHBAB,NABEUL
380033,SOCIETE COMMERCIALE EL AHBAB BOULEVARD 9 AVRIL KORBA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE COMMERCIALE EL AHBAB,NABEUL
380041,SOCIETE ESSAADA RUE ALI BEN GHEDHAHEM,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE ESSAADA,NABEUL
380042,SOCIETE ESSAADA RUE ALI BEN GHEDHAHEM,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE ESSAADA,NABEUL
380043,SOCIETE ESSAADA RUE ALI BEN GHEDHAHEM,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE ESSAADA,NABEUL
380082,SOCIETE BEN HMIDA AVENUE ABOU EL KACEM CHEBBI AIN DRAHAM,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE BEN HMIDA,JENDOUBA
380101,MOHAMED NEJIB TORCHANI ZONE INDUSTRIELLE BOUSALEM - JENDOUBA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,MOHAMED NEJIB TORCHANI,JENDOUBA
380102,MOHAMED NEJIB TORCHANI ZONE INDUSTRIELLE BOUSALEM - JENDOUBA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,MOHAMED NEJIB TORCHANI,JENDOUBA
380111,ALI RIAHI 38 RUE CORNICHE BIZERTE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,ALI RIAHI,BEJA
380121,ABDELLATIF LAHBIB EL ALIA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,ABDELLATIF LAHBIB,BIZERTE
380131,KHALED MILED ZOUAOUINE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,KHALED MILED,BIZERTE
380141,FERID EL MAZI AVENUE 7 NOVEMBRE ML JEMIL,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,FERID EL MAZI,BIZERTE
380151,RIDHA LOUDAIEF CITE EL AOUINA RTE SIDI ABDELAZIZ METELINE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,RIDHA LOUDAIEF,BIZERTE
380171,TAHAR BADIS 2 RUE EL MANJOUR TUNIS,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,TAHAR BADIS,TUNIS
380172,TAHAR BADIS 2 RUE EL MANJOUR TUNIS,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,TAHAR BADIS,TUNIS
380191,LOTFI TRABELSI M'HAMDIA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,LOTFI TRABELSI,BEN AROUS
380192,LOTFI TRABELSI M'HAMDIA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,LOTFI TRABELSI,BEN AROUS
380211,SAADALLAH BEN MAHMOUD KALAAT EL ANDALOUS,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SAADALLAH BEN MAHMOUD,TUNIS
