Compte ,Client ,Secteurs Statistique,Catégorie,Secteurs clients,Consolidation Client,Gouvernorat
395300,BRIGADE DE L'ORDRE PUBLIQUE BP 6071 EL AOUINET GABES,ADMINISTRATION GAZ,ADMINISTRATION,MIN.INTER.DEV.LOC.,BRIGADE DE L'ORDRE PUBLIQUE,GABES
395320,ECOLE PREPARATOIRE DE MENZEL M'HERI MENZEL M'HERI NASRALLAH KAIROUAN,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,ECOLE PREPARATOIRE DE MENZEL M'HERI,KAIROUAN
395330,TOPEKA PARC D'ACTIVITE ECONOMIQUE MENZEL BOURGUIBA,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,TOPEKA,BIZERTE
395340,ECOLE PREPARATOIRE DE ZHENA ZHENA UTIQUE,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,ECOLE PREPARATOIRE DE ZHENA,BIZERTE
395360,HASSEN BOULARES RUE TAREK IBN ZIAD CARTHAGE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,HASSEN BOULARES,TUNIS
395410,INSTITUT NATIONAL AGRONOMIQUE DE TUNISIE 43.AV CHARLES NICOLES CITE EL MAHRAGENE TUNIS,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.AGRIC.ENV.RESS.HYD.,INSTITUT NATIONAL AGRONOMIQUE DE TUNISIE,TUNIS
395440,FOYER UNIVERSITAIRE EL FJAA FOYER UNIVERS EL FJAA.KM24.MEDENINE.EL.JORF,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,FOYER UNIVERSITAIRE EL FJAA,MEDENINE
395450,SOCODIPP 315 CITE ERRAYAHINE AP.B EL MANAR3 - TUNIS,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCODIPP,ZAGHOUAN
395470,SOCIETE NEAPOLIS 22.RUE SIDI ALI AZZOUZ NABEUL,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE NEAPOLIS,NABEUL
395500,LYCEE EL FARABI LYCEE EL FARABI EL FAHS ZAGHOUAN,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,LYCEE EL FARABI,ZAGHOUAN
