Compte ,Client ,Secteurs clients,Consolidation Client,AME
567662,MIN.ENS.SUP.RECH.SC.TECH.RESTAURANT UNIVERSITAIRE EL OMRANE SUPERIEU,ADMINISTRATION,RESTAURANT UNIVERSITAIRE EL OMRANE SUPERIEU,MIN.ENS.SUP.RECH.SC.
567672,MIN.INTER.DEV.LOC.COMMUNE EL MOUROUJ,ADMINISTRATION,COMMUNE EL MOUROUJ                         ,MIN.INTER.DEV.LOC.
567682,MIN.INTER.DEV.LOC.COMMUNE BOUMHAL EL BASSATINE,ADMINISTRATION,COMMUNE BOUMHAL EL BASSATINE               ,MIN.INTER.DEV.LOC.
567692,MIN.INTER.DEV.LOC.COMMUNE EL FAHS,ADMINISTRATION,COMMUNE EL FAHS                            ,MIN.INTER.DEV.LOC.
567702,MIN.INTER.DEV.LOC.COMMUNE DENDEN,ADMINISTRATION,COMMUNE DENDEN                             ,MIN.INTER.DEV.LOC.
567712,MIN.AFF.SOC.SOLID. CENTRE DE DEF.ET D'INTEG.SOC.,ADMINISTRATION,CENTRE DE DEF.ET D'INTEG.SOC.,MIN.AFF.FEM.FAM.ENF.
567722,MIN.INTER.DEV.LOC.COMMUNE DE KHLEDIA,ADMINISTRATION,COMMUNE DE KHLEDIA                         ,MIN.INTER.DEV.LOC.
567732,MIN.INTER.DEV.LOC.ECOLE DE FORMATION ET DE RECYCLAGE AGENT CA,ADMINISTRATION,ECOLE DE FORMATION ET DE RECYCLAGE AGENT CA,MIN.INTER.DEV.LOC.
567742,MIN.INTER.DEV.LOC.AGENCE MUNICIPALE DES SERVICES ENVIRONNEMENTAUX,ADMINISTRATION,AGENCE MUNICIPALE DES SERVICES ENVIRONNEMENTAUX,MIN.INTER.DEV.LOC.
567752,MIN.INTER.DEV.LOC.COMMUNE DE KORBA,ADMINISTRATION,COMMUNE DE KORBA                           ,MIN.INTER.DEV.LOC.
567762,MIN.ENS.SUP.RECH.SC.TECH.CITE UNIVERSITAIRE HAMMAM CHATT,ADMINISTRATION,CITE UNIVERSITAIRE HAMMAM CHATT,MIN.ENS.SUP.RECH.SC.
567772,MIN.EDUC.FORM.ECOLE DES METIERS,ADMINISTRATION,ECOLE DES METIERS,MIN.EDUC.
567781,MIN.FIN.DIRECTION GLE DU CONTROLE FISCAL-SERVICE MA,ADMINISTRATION,DIRECTION GLE DU CONTROLE FISCAL-SERVICE MA,MIN.FIN.
567792,MIN.INTER.DEV.LOC.CENTRE DE FORMATION SPECIAL,ADMINISTRATION,CENTRE DE FORMATION SPECIAL,MIN.INTER.DEV.LOC.
567801,MIN.ENS.SUP.RECH.SC.TECH.INSTITUT NATIONAL DES SCIENCES APPLIQUEES T,ADMINISTRATION,INSTITUT NATIONAL DES SCIENCES APPLIQUEES T,MIN.ENS.SUP.RECH.SC.
567812,MIN.ENS.SUP.RECH.SC.TECH.FOYER UNIVERSITAIRE,ADMINISTRATION,FOYER UNIVERSITAIRE,MIN.ENS.SUP.RECH.SC.
567822,MIN.ENS.SUP.RECH.SC.TECH.DIRECTION GLE.DES AFFAIRES ESTUDIANTINES,ADMINISTRATION,DIRECTION GLE.DES AFFAIRES ESTUDIANTINES,MIN.ENS.SUP.RECH.SC.
567832,MIN.INTER.DEV.LOC.COMMUNE DE MEGRINE,ADMINISTRATION,COMMUNE DE MEGRINE,MIN.INTER.DEV.LOC.
567842,MIN.EDUC.FORM.AGENCE TUNISIENNE DE FORM.PROF.DIVISION MOY,ADMINISTRATION,AGENCE TUNISIENNE DE FORM.PROF.DIVISION MOY,MIN.EDUC.
567852,MIN.INTER.DEV.LOC.CENTRE NATIONAL DE FORMATION CONTINUE DE LA,ADMINISTRATION,CENTRE NATIONAL DE FORMATION CONTINUE DE LA,MIN.INTER.DEV.LOC.
567862,MIN.INTER.DEV.LOC.COMMUNE DE BORJ  EL AMRI,ADMINISTRATION,COMMUNE DE BORJ  EL AMRI,MIN.INTER.DEV.LOC.
567872,MIN.FIN.DIR.GLE.DOUANES -DIR.GESTION PERS.MATERIEL,ADMINISTRATION,DIR.GLE.DOUANES -DIR.GESTION PERS.MATERIEL,MIN.FIN.
567882,MIN.EDUC.FORM.ECOLE PREP.KHAIREDDINE,ADMINISTRATION,ECOLE PREP.KHAIREDDINE,MIN.EDUC.
567892,MIN.EDUC.FORM.ECOLE POLYTECHNIQUE DE TUNIS,ADMINISTRATION,ECOLE POLYTECHNIQUE DE TUNIS,MIN.EDUC.
567902,MIN.COMMUN. OFFICE NAT.DES POSTES - RECETTE REG.DES POSTES -,ADMINISTRATION,OFFICE NAT.DES POSTES - RECETTE REG.DES POSTES -,MIN.COMMUN.REL.CH.DEP.CH.CONS.
567912,MIN.COMMUN. OFFICE NAT.DES POSTES - RECETTE REG.DES POSTES -,ADMINISTRATION,OFFICE NAT.DES POSTES - RECETTE REG.DES POSTES -,MIN.COMMUN.REL.CH.DEP.CH.CONS.
567922,MIN.COMMUN.OFFICE NAT.DES POSTES- RECETTE REG.DES POSTES -,ADMINISTRATION,OFFICE NAT.DES POSTES- RECETTE REG.DES POSTES -,MIN.COMMUN.REL.CH.DEP.CH.CONS.
567932,MIN.COMMUN. OFFICE NAT.DES POSTES - RECETTE REG.DES POSTES -,ADMINISTRATION,OFFICE NAT.DES POSTES - RECETTE REG.DES POSTES -,MIN.COMMUN.REL.CH.DEP.CH.CONS.
567942,MIN.EDUC.FORM.ECOLE DE QUALIFICATION TECHNIQUE DE RADES,ADMINISTRATION,ECOLE DE QUALIFICATION TECHNIQUE DE RADES,MIN.EDUC.
567952,MIN.COMMUN. OFF.NL.DES POSTES- DIR.REG.DES SCES.DE COMPLEXE,ADMINISTRATION,OFF.NL.DES POSTES- DIR.REG.DES SCES.DE COMPLEXE,MIN.COMMUN.REL.CH.DEP.CH.CONS.
567962,MIN.COMMUN.DIVISION DE TELECOMMUNICATION DE TUNIS,ADMINISTRATION,DIVISION DE TELECOMMUNICATION DE TUNIS,MIN.COMMUN.REL.CH.DEP.CH.CONS.
567972,MIN.CULT.JEUN.LOIS.CENTRE D'ETUDES DE RECHERCHES ET DE DOCUMEN,ADMINISTRATION,CENTRE D'ETUDES DE RECHERCHES ET DE DOCUMEN,MIN.CULT.SAUVEGARDE DU PATRIMOINE
567982,MIN.SPORTSLE TRANSPORT DES JEUNES ET DES SPORTIFS,ADMINISTRATION,LE TRANSPORT DES JEUNES ET DES SPORTIFS,MIN.JEUN.SPORTS EDUC.PHYS.
567992,MIN.JEUN.ENF. DECENTRALISATION,ADMINISTRATION,MIN.JEUN.ENF. DECENTRALISATION,MIN.AFF.FEM.FAM.ENF.
568012,MIN.AGRIC.ENV.RESS.HYD.VULGARISATION AGRICOLE,ADMINISTRATION,VULGARISATION AGRICOLE,MIN.AGRIC.ENV.RESS.HYD.
568022,MIN.AGRIC.ENV.RESS.HYD.REGIE SONDAGES HYDRAULIQUES,ADMINISTRATION,REGIE SONDAGES HYDRAULIQUES                ,MIN.AGRIC.ENV.RESS.HYD.
568032,MIN.AGRIC.ENV.RESS.HYD.PRODUCTION VEGETALE,ADMINISTRATION,PRODUCTION VEGETALE,MIN.AGRIC.ENV.RESS.HYD.
