Compte ,Client ,Secteurs clients,Consolidation Client,AME
224401,HEDI BEN SASSI CONCASSAGE DE PIERRE ERRECHARCHA KSOUR ESSAF MAHDIA,INDUSTRIE,HEDI BEN SASSI CONCASSAGE DE PIERRE ERRECHARCHA,AUTRES INDUSTRIES DIVERSES
224431,"SOCIETE DES BITUMES DU SUD ""SUD BITUMES"" IMM.SETCAR GP1 KM 13 RTE SOUSSE EZZAHRA",INDUSTRIE,"SOCIETE DES BITUMES DU SUD ""SUD BITUMES""",IND.DU CIMEMT ET OUVRAGE EN CIMENT
224441,BRIQUETERIE EL MOSTAKBEL ZONE INDUSTRIELLE TEBOULBA,INDUSTRIE,BRIQUETERIE EL MOSTAKBEL,EXTRACT.ET FACONNAGE DES PROD.CARRIERES
224491,"STE TUNISO ITALIENNE D'EMAIL "" EMACER "" ZI BP 33",INDUSTRIE,"STE TUNISO ITALIENNE D'EMAIL "" EMACER """,AUTRES INDUSTRIES DIVERSES
224501,"LES LABORATOIRES DES MEDICAMENTS STERILES ""MEDIS"" ROUTE DE NABEUL KM7 BP206 NABEUL",INDUSTRIE,"LES LABORATOIRES DES MEDICAMENTS STERILES ""MEDIS""",AUTRES INDUSTRIES CHIMIQUES
224551,LA METALLOPLASTIC ROUTE DE SOUSSE KM 13.5 Z.I EZZAHRA,INDUSTRIE,LA METALLOPLASTIC,COMMERCE
224611,SOCIETE D'EXPLOITATION MINIERE SEM 53 RUE ECHAM BAB BHAR TUNIS,INDUSTRIE,SOCIETE D'EXPLOITATION MINIERE SEM,COMMERCE
224621,STE MARBRERIE DE MAHDIA SICMA ZONE IND DE MAHDIA,INDUSTRIE,STE MARBRERIE DE MAHDIA SICMA,AUTRES INDUSTRIES DIVERSES
224641,STE SIMEG ROUTE DE TUNIS KM 23 GHRABA HENCHA,INDUSTRIE,STE SIMEG,AUTRES INDUSTRIES MECANIQUES + ELECTRIQUES
224651,STE LES ADJUVANTS INDUSTRIELS-SA SADIN 53 RUE ECHAM TUNIS,INDUSTRIE,STE LES ADJUVANTS INDUSTRIELS-SA SADIN,COMMERCE
224661,"SOCIETE DE CONSTRCTION INDUSTRIALISEE S . C . I "" GROUPE POULINA "" Z I BORJ CEDRIA HAMMAM LIF",INDUSTRIE,"SOCIETE DE CONSTRCTION INDUSTRIALISEE S . C . I "" GROUPE POULINA ""","SIDER.METALLUR.DES NON FERREUX,FONDERIE"
224681,SOCIETE LES MERVEILLES DU CENTRE S.A Z I ROUTE THALA KASSERINE,INDUSTRIE,SOCIETE LES MERVEILLES DU CENTRE S.A,EXTRACT.ET FACONNAGE DES PROD.CARRIERES
224721,"SOCIETE EJIM ROUTE DE GABES KM 5,5 TINA GABES",INDUSTRIE,SOCIETE EJIM,AUTRES INDUSTRIES DIVERSES
224831,SOCIETE TRABELSI ABDELKADER ROUTE GREMDA KM 6 MAHMOUD MEGUDICH SFAX,INDUSTRIE,SOCIETE TRABELSI ABDELKADER,COMMERCE
224841,SOCIETE AUTO 7 007 MONGI SLIM MENZEL BOURGUIBA,INDUSTRIE,SOCIETE AUTO,AUTRES INDUSTRIES DIVERSES
224911,"SOCIETE BRIQUETERIE ERRADHI ""SBE"" ZONE INDUSTRIELLE NABEUL",INDUSTRIE,"SOCIETE BRIQUETERIE ERRADHI ""SBE""",EXTRACT.ET FACONNAGE DES PROD.CARRIERES
224921,"SOCIETE LES CARRIERES DU SAHEL ""CASA"" 30 BIS RUE ALI GHEDAHEM",INDUSTRIE,"SOCIETE LES CARRIERES DU SAHEL ""CASA""",EXTRACT.ET FACONNAGE DES PROD.CARRIERES
224931,T.T.P.S TUNS. TRAVAUX PUBLICS ET SERVICES 261 COLISEE SOULA EL MANAR II,INDUSTRIE,T.T.P.S TUNS. TRAVAUX PUBLICS ET SERVICES,BATIMENT ET TRAVAUX PUBLICS
224941,SOCIETE DES INDUSTRIES PHARMACEUTIQUES DE TUNISIE FONDOUK CHOUCHA,INDUSTRIE,SOCIETE DES INDUSTRIES PHARMACEUTIQUES,AUTRES INDUSTRIES CHIMIQUES
224981,COMPAGNIE DES MINES DU NORD SA CMN 53 RUE ECHAM TUNIS,INDUSTRIE,COMPAGNIE DES MINES DU NORD SA CMN,COMMERCE
225011,SOCIETE BEN HALIMA FRERES RAOUED KM 13 BP N15 ARIANA,INDUSTRIE,SOCIETE BEN HALIMA FRERES,BATIMENT ET TRAVAUX PUBLICS
225021,SOCIETE DES BITUMES DE SIDI BOUZID IMMEUBLE PRIMA RES LAC 2001 LES BERGES DU LAC,INDUSTRIE,SOCIETE DES BITUMES DE SIDI BOUZID,AUTRES INDUSTRIES DIVERSES
225031,SOCIETE BOUZGUENDA FRERES STE BOUZGUENDA FRERES BP N)52 SFAX,INDUSTRIE,SOCIETE BOUZGUENDA FRERES,BATIMENT ET TRAVAUX PUBLICS
225041,SOCIETE LAIT ET DERIVES 5 ROUTE DE L'HOPITAL BAB SAADOUN TUNIS,INDUSTRIE,SOCIETE LAIT ET DERIVES,AUTRES INDUSTRIES ALIMENTAIRES
225041,SOCIETE LAIT ET DERIVES KM 8 ROUTE DE MATEUR MANOUBA,INDUSTRIE,SOCIETE LAIT ET DERIVES,AUTRES INDUSTRIES ALIMENTAIRES
225061,LE PROFILE ALUMINIUM SA KM 32 ROUTE EL FAHS JEBEL EL OUEST,INDUSTRIE,LE PROFILE ALUMINIUM SA,AUTRES INDUSTRIES DIVERSES
225110,S A K M O I N V E S T BP 70 SAKIET SIDI YOUSSEF,INDUSTRIE,S A K M O I N V E S T,AUTRES INDUSTRIES MECANIQUES + ELECTRIQUES
225131,BRIQUETERIE DHIFALLAH ROUTE MENZEL FERSI,INDUSTRIE,BRIQUETERIE DHIFALLAH,EXTRACT.ET FACONNAGE DES PROD.CARRIERES
225141,SAVONNERIE DE CARTHAGE ROUTE DE MAHDIA KM 18 SFAX,INDUSTRIE,SAVONNERIE DE CARTHAGE,AUTRES INDUSTRIES DIVERSES
225151,SOCIETE GENERALE D'ENTREPRISES DE MATERIEL ET DE TRAVAUX PCE ERROUSSAFI MUTUELLEVILLE BP69 TUNIS CEDEX,INDUSTRIE,SOCIETE GENERALE D'ENTREPRISES DE MATERIEL ET DE TRAVAUX,BATIMENT ET TRAVAUX PUBLICS
225221,SOCIETE LA MAGHREBINE DE L'INDUSTRIE MACANIQUE ROUTE DE L'AEOROPORT KM 4.5 SAKIET EZZIT SFAX,INDUSTRIE,SOCIETE LA MAGHREBINE DE L'INDUSTRIE MACANIQUE,AUTRES INDUSTRIES MECANIQUES + ELECTRIQUES
225241,STE TUNISIENNE D'EMBALLAGE FINS ROUTE DE GABES KM 4,INDUSTRIE,STE TUNISIENNE D'EMBALLAGE FINS,FABRI.DE PRODUIT EN MATIERE PLASTIQUE
225251,SOCIETE MARBRERIE DE SFAX ROUTE DE GABES KM 5.5,INDUSTRIE,SOCIETE MARBRERIE,INDUSTRIE DE LA CERAMIQUE
225301,GLOBAL INDUSTRIEL EQUIPMENT-SERVICES CITE MAHRAJANE TATAOUINE,INDUSTRIE,GLOBAL INDUSTRIEL EQUIPMENT-SERVICES,COMMERCE
225321,SOCIETE HABIB AKERMI SOBAF ROUTE MENZEL CHAKER KM 5 SFAX,INDUSTRIE,SOCIETE HABIB AKERMI SOBAF,COMMERCE
225351,STE BVM ZI BIR KASAA BEN AROUS,INDUSTRIE,STE BVM,COMMERCE
225361,UNIVERSAL TRANSFORMATEURS 24 RUE BENI KARAM MOSQUEE ERRAWDHA SOUKRA,INDUSTRIE,UNIVERSAL TRANSFORMATEURS,AUTRES INDUSTRIES MECANIQUES + ELECTRIQUES
225401,STE TUNISIENNE D'ENTREPRISE ET DE VENTE SOTEV ROUTE DE SOUSSE KM 6 ZI BEN AROUS,INDUSTRIE,STE TUNISIENNE D'ENTREPRISE ET DE VENTE SOTEV,COMMERCE
225431,SOTRAMINE RUE ECHAM N° 53 TUNIS,INDUSTRIE,SOTRAMINE,AUTRES INDUSTRIES DIVERSES
225751,SOCIETE DES BOUGIES DU LAC BIZERTE Z.IND.SID RSING TINJA,INDUSTRIE,SOCIETE DES BOUGIES,AUTRES INDUSTRIES DIVERSES
225831,SOCIETE NA SOLID PETROSERVE LTD RESIDENCE MERIEM AV. INDEPENDANCE BP 199 ARIANA,INDUSTRIE,SOCIETE NA SOLID PETROSERVE LTD,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ
225871,ETS MOHAMED BEN HASSINE 25 AV. MONGI BALI JEMMEL,INDUSTRIE,ETS MOHAMED BEN HASSINE,BATIMENT ET TRAVAUX PUBLICS
225901,"SOCIETE EL BARAKA SERVICES ""S.B.S."" 25 BIS RUE IBN KHALDOUN MEGRINE",INDUSTRIE,"SOCIETE EL BARAKA SERVICES ""S.B.S."" ",BATIMENT ET TRAVAUX PUBLICS
225921,STE TNE DES RESSORTS A LAMES COTREL Z.I BORJ CEDRIA HAMAM LIF,INDUSTRIE,STE TNE DES RESSORTS A LAMES COTREL,COMMERCE
225981,SOCIETE STAR FOOD ZONE INDUSTRIELLE LESSOUDA SIDI BOUZID,INDUSTRIE,SOCIETE STAR FOOD,AUTRES INDUSTRIES ALIMENTAIRES
226011,SOCIETE R INDUSTRIE IMM IBN ZOHR ETAGE 5 A 50 SFAX,INDUSTRIE,SOCIETE R INDUSTRIE,FABRICATION D'ENGRAIE HEXENORE DRT TIMBRE
226021,I T A L C A R S.A. RUE 8612 ZONE IND. LA CHARGUIA 1,INDUSTRIE,I T A L C A R S.A.,FAB.DE MATER.ET EQUIP.AGRICOLE ET INDUSTR.
226231,S H A U B E R S.A. 58 AV. TAHAR BEN AMMAR EL MENZAH IX,INDUSTRIE,S H A U B E R S.A.,FABRICATION D'ENGRAIE HEXENORE DRT TIMBRE
226301,STE KHAIRI SERVICES PETROLIERS TATAOUINE,INDUSTRIE,STE KHAIRI SERVICES PETROLIERS,FABRICATION D'ENGRAIE HEXENORE DRT TIMBRE
226351,"PA RESSOURCES TUNISIA ""DIDON"" RUE DU LAC TANGANYIKA IMM.4 PILASTRE",INDUSTRIE,"PA RESSOURCES TUNISIA ""DIDON""","AUTRES ACTIV.SOCIAUX,CULTURELS,RECREATIFS"
226381,"SOCIETE UNION DES BRIQUETERIES DU SUD ""U B S "" RTE BEN GUERDENE MEDNINE",INDUSTRIE,"SOCIETE UNION DES BRIQUETERIES DU SUD ""U B S """,INDUSTRIE DE LA CERAMIQUE
226382,"SOCIETE UNION DES BRIQUETERIES DU SUD ""U B S "" RTE BEN GUERDENE MEDNINE",INDUSTRIE,"SOCIETE UNION DES BRIQUETERIES DU SUD ""U B S """,INDUSTRIE DE LA CERAMIQUE
226431,PROMO CHIMICA TUNISIA TANIT CENTER B 123 SIDI DAOUED LA MARSA,INDUSTRIE,PROMO CHIMICA TUNISIA,FABRI.DE PRODUIT EN MATIERE PLASTIQUE
226491,TUNISIAN TRADING COMPANY,INDUSTRIE,TUNISIAN TRADING COMPANY,COMMERCE
226511,SOCIETE THOR J.M.S SARL ZONE IND ROUTE TABARKA BEJA,INDUSTRIE,SOCIETE THOR J.M.S SARL,FABRI.DE PRODUIT EN MATIERE PLASTIQUE
226601,SOCIETE SOTUPRIN ROUTE DE GABES KM 8 BP9 SFAX,INDUSTRIE,SOCIETE SOTUPRIN,COMMERCE
226631,MEDICARS ROUTE DE TUNIS BP N°160 AKOUDA,INDUSTRIE,MEDICARS,AUTRES INDUSTRIES DIVERSES
226641,SOCIETE PROINJECT NORDPACK ZI ROUTE DE TUNIS ZAGHOUANE JEBEL EL OUEST,INDUSTRIE,SOCIETE PROINJECT,FABRI.DE PRODUIT EN MATIERE PLASTIQUE
226691,STE M.S.TIR MAGASINAGE SERVICES MARETH,INDUSTRIE,STE M.S.TIR MAGASINAGE SERVICES,TRANSPORT ROUTIER PARTICULIER (NON MARCH.)
226851,MAGIC YACHTS PARC D'ACTIVITE ECONOMIQUE DE BIZERTE,INDUSTRIE,MAGIC YACHTS,COMMERCE
226861,SOCIETE PROINJECT ROUTE AGAREB KM 14.5 SGHAR SFAX,INDUSTRIE,SOCIETE PROINJECT,FABRI.DE PRODUIT EN MATIERE PLASTIQUE
226961,ETABLISSEMENT MANSOURI 70 RUE 18 JANVIER TUNIS,INDUSTRIE,ETABLISSEMENT MANSOURI,AUTRES INDUSTRIES MECANIQUES + ELECTRIQUES
227011,"STE DEVELOPPEMENT INDUSTRIEL ENFIDHA ""DIET"" 12 RUE EL FELL ENFIDHA",INDUSTRIE,"STE DEVELOPPEMENT INDUSTRIEL ENFIDHA ""DIET""",BATIMENT ET TRAVAUX PUBLICS
227101,TELETEC ROUTE DE GABES KM 11 SFAX,INDUSTRIE,TELETEC CATERING,AUTRES INDUSTRIES ALIMENTAIRES
227171,SOCIETE PREMECA SFAX AVENUE MOHAMED HEDI KHEFASHA,INDUSTRIE,SOCIETE PREMECA,AUTRES INDUSTRIES MECANIQUES + ELECTRIQUES
227301,SOCIETE ELECTRO TECHNIQUE INDUSTRIEL 24 RUE DE LA BATOIRE MATEUR,INDUSTRIE,SOCIETE ELECTRO TECHNIQUE INDUSTRIEL,AUTRES INDUSTRIES DIVERSES
227461,VALENTINE COMPAGNIE AFRICAINE DES PEINTURES ZI BEN AROUS BP 295,INDUSTRIE,VALENTINE COMPAGNIE AFRICAINE DES PEINTURES,AUTRES INDUSTRIES DIVERSES
227501,"SOCIETE ""G.R.B."" 112 RUE 10111 KSAR SAID",INDUSTRIE,"SOCIETE ""G.R.B.""",COMMERCE
227501,SOCIETE G R B N0 112 RUE 10111 KSAR SAID,INDUSTRIE,SOCIETE G R B,COMMERCE
227551,COMPTOIR LOUZIR DE BATIMENT AV HABIB BOURGUIBA JEMMAL,INDUSTRIE,COMPTOIR LOUZIR DE BATIMENT,COMMERCE
227591,PANOFORT PLUS 041 KHEIR PACHA ESC A TUNIS BELVEDERE,INDUSTRIE,PANOFORT PLUS,AUTRES INDUSTRIES DIVERSES
227601,STE EL KHOUTAF DE FAB PRODTS ENTRETIEN MGHIRA INZEL ROUTE DE FOUCHANA SIDI HCINE TUNIS,INDUSTRIE,STE EL KHOUTAF DE FAB PRODTS ENTRETIEN,COMMERCE
227651,ETABLISSEMENTS BEN AYED,INDUSTRIE,ETABLISSEMENTS BEN AYED,COMMERCE
227791,"CENTRALE LAITIERE DU NORD S A ""C L N"" KM4 ROUTE DE TUNIS BP125 BOU SALEM",INDUSTRIE,"CENTRALE LAITIERE DU NORD S A ""C L N""",AUTRES INDUSTRIES ALIMENTAIRES
227931,"SOCIETE COMMERCIALE DES PRODUITS CHIMIQUES ""SCPC"" ROUTE DE GABES KM 4.5 BP 69 SFAX",INDUSTRIE,"SOCIETE COMMERCIALE DES PRODUITS CHIMIQUES ""SCPC""",COMMERCE
227941,LAGALAXIE DES PEINTURES FATMA HENTATI ROUTE DE MAHDIA KM 10 SFAX,INDUSTRIE,LAGALAXIE DES PEINTURES FATMA HENTATI,COMMERCE
228071,"STE GLE DE PEINTURE "" SGP "" "" NARCISSE "" RTE DE GABES KM 6.5 RUE TAHER HADDAD SFAX",INDUSTRIE,"STE GLE DE PEINTURE "" SGP "" "" NARCISSE """,AUTRES INDUSTRIES CHIMIQUES
228081,FILIN Z.I CHEBEDDA NAASEN BP 143 FOUCHANA,INDUSTRIE,FILIN,FILATURE ET TISSAGE
228161,CARRIERE ZGARNI FETHI AV MONGI SLIM RTE DE CHEBBA KM1 KSOUR ESSAF,INDUSTRIE,CARRIERE ZGARNI FETHI,EXTRACT.ET FACONNAGE DES PROD.CARRIERES
228181,SOCIETE M .J . M MAHDIA RUE DE BREZIL N0 8 TUNIS,INDUSTRIE,SOCIETE M .J . M ,MINES
228211,"USINE DE CONSERVES ALIMENTAIRES HANAFI ""UCAL"" DOUALA TAKELSA",INDUSTRIE,"USINE DE CONSERVES ALIMENTAIRES HANAFI ""UCAL""",CONSERVERIES
228221,EQUIPEMENT INDUSTRIE BV 9AVRIL BAB MENARA TUNIS,INDUSTRIE,EQUIPEMENT INDUSTRIE,AUTRES INDUSTRIES DIVERSES
228251,MONGI BEN MOHAMED DHIFALLAH,INDUSTRIE,MONGI BEN MOHAMED DHIFALLAH,COMMERCE
228261,MEGA PRINTING 86 RUE 8600 Z.I,INDUSTRIE,MEGA PRINTING,FAB.DU PAPIER DE L'IMPRIMERIE ET EDITION
228271,SOCIETE FRERES D'EXPLOITATION DES CARRIERES,INDUSTRIE,SOCIETE FRERES D'EXPLOITATION DES CARRIERES,EXTRACT.ET FACONNAGE DES PROD.CARRIERES
228281,STE KIMO LUBRIFIANTS KIMOLU 27 RUE EZZOUHOUR MENZEL TEMIME NABEUL,INDUSTRIE,STE KIMO LUBRIFIANTS KIMOLU,COMMERCE
228301,SALAKTA FERTILIZER COMPANY IMM. SELECTA Z.I. KHEREDDINE LE KRAM,INDUSTRIE,SALAKTA FERTILIZER COMPANY,BATIMENT ET TRAVAUX PUBLICS
228302,SALAKTA FERTILIZER COMPANY IMM. SELECTA Z.I. KHEREDDINE LE KRAM,INDUSTRIE,SALAKTA FERTILIZER COMPANY,BATIMENT ET TRAVAUX PUBLICS
228321,SOCIETE MEGISSERIE EXEMPLAIRE Z.I BOUARGOUB,INDUSTRIE,SOCIETE MEGISSERIE EXEMPLAIRE,INDUSTRIE DU CUIVRE ET DE LA CHAUSSURE
228331,"GROUPE D'ECLAIRAGE DE TUNISIE ""GET"" RUE DE LA CHIMLE Z.I",INDUSTRIE,"GROUPE D'ECLAIRAGE DE TUNISIE ""GET""",AUTRES INDUSTRIES MECANIQUES + ELECTRIQUES
228341,"INTERNATIONAL TUNISIAN SERVICES ""ITS"" 5 BIS RUE KHALED IBN ELOUALID",INDUSTRIE,"INTERNATIONAL TUNISIAN SERVICES ""ITS""","ACTIVITES CONSEIL,REPARATION ET ENTRETIEN"
228361,SOCIETE INDUSTRIELLE D'ELECTRICITE SILEC 7 RUE JORDANIE TUNIS,INDUSTRIE,SOCIETE INDUSTRIELLE D'ELECTRICITE SILEC,COMMERCE
228381,R 2 M SERVICE 3 RUE AMARA SOLTANI TUNIS,INDUSTRIE,R 2 M SERVICE,AUTRES INDUSTRIES MECANIQUES + ELECTRIQUES
228421,"SOCIETE CERAMIQUE MOKNINE ""SCM"" ROUTE DE JEMMEL KM2 MOKNINE",INDUSTRIE,"SOCIETE CERAMIQUE MOKNINE ""SCM""",INDUSTRIE DE LA CERAMIQUE
228461,SIGMA SARL IMM ESSAADA APP 10 CITE EL KHADHRA,INDUSTRIE,SIGMA SARL,AUTRES INDUSTRIES DIVERSES
228591,SOCIETE INDUPLAST RUE AMINE RIAHI N21 EL OMRANE EL ALAA,INDUSTRIE,SOCIETE INDUPLAST,FABRI.DE PRODUIT EN MATIERE PLASTIQUE
228631,BEST TRANSFO 11 RUE LEBID TUNIS,INDUSTRIE,BEST TRANSFO,AUTRES INDUSTRIES MECANIQUES + ELECTRIQUES
228721,ATLAS PEINTURE ROUTE DE SOUSSE KM6 MEGRINE,INDUSTRIE,ATLAS PEINTURE,AUTRES INDUSTRIES CHIMIQUES
228731,STE TUNISIENNE D'EXPLOITATION ET DE TRANSFORMATION DE PROPDUIT DE LA R 38 RUE D'ESPAGNE TUNIS,INDUSTRIE,STE TUNISIENNE D'EXPLOITATION ET DE TRANSFORMATION DE PROPDUIT,AUTRES INDUSTRIES ALIMENTAIRES
228761,SOTEFI SELECTA ZI AEOROPORT BP 241,INDUSTRIE,SOTEFI SELECTA,FAB.DU PAPIER DE L'IMPRIMERIE ET EDITION
228791,"SOCIETE TANNERIE AFRICA PRODUCTION ""TAP"" RUE DE LA GARE ZI BEN AROUS",INDUSTRIE,"SOCIETE TANNERIE AFRICA PRODUCTION ""TAP""",INDUSTRIE DU CUIVRE ET DE LA CHAUSSURE
228861,SOCIETE NEOFIL SID SARL ZONE INDUSTRIL USINE TESTOUR,INDUSTRIE,SOCIETE NEOFIL SID SARL,COMMERCE
229001,TANNERIE MODERNE AKID RUE ABOU HAMED ELGHAZALI SOUSSE,INDUSTRIE,TANNERIE MODERNE AKID,INDUSTRIE DU CUIVRE ET DE LA CHAUSSURE
229021,ENTREPRISE BOUAZIZ ET COMPAGNIE ZONE INDUSTRIELLE POUDRIERE 1 SFAX,INDUSTRIE,ENTREPRISE BOUAZIZ ET COMPAGNIE,FABRI.DE PRODUIT EN MATIERE PLASTIQUE
229061,SOPEM KM 4 ZI OUED CHAABOUNI SFAX,INDUSTRIE,SOPEM,AUTRES INDUSTRIES MECANIQUES + ELECTRIQUES
229071,PETRO CONFORT ZONE INDUSTRIELLE ARIANA,INDUSTRIE,PETRO CONFORT,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ
229091,"LES GRANDS ATELIERS ""G . A . N GROMBALIA"" GROUPE POULINA LOT N *31 BIS ZONE INDUSTRIELLE GROMBALIA",INDUSTRIE,"LES GRANDS ATELIERS DU NORD GAN ""GROUPE POULINA"" ","SIDER.METALLUR.DES NON FERREUX,FONDERIE"
229091,"LES GRANDS ATELIERS DU NORDS "" G . A . N GROMBALIA "" LOT N *31 BIS ZONE INDUSTRIELLE GROMBALIA",INDUSTRIE,"LES GRANDS ATELIERS DU NORD GAN ""GROUPE POULINA"" ","SIDER.METALLUR.DES NON FERREUX,FONDERIE"
229152,"STE MAGHREBINE DE COMMUNICATION DE PNEUMATIQUE ""SOMACOP"" 14 RUE D'ITALIE TUNIS",INDUSTRIE,STE MAGHREBINE DE COMMUNICATION DE PNEUMATIQUE ,INDUSTRIE CAOUTCHOUC ET PNEUMATIQUES
229181,"MATERIEL ELECTRIQUE POUR AUTOS "" M . E . A "" RUE DES USINES N° 28 Z.I SIDI RZIGUE MEGRINE",INDUSTRIE,"MATERIEL ELECTRIQUE POUR AUTOS "" M . E . A """,COMMERCE
229191,ENTREPRISE ABDELLATIF BEN AYED ZONE INDUSTRIELLE OUED CHAABOUNI,INDUSTRIE,ENTREPRISE ABDELLATIF BEN AYED,BATIMENT ET TRAVAUX PUBLICS
229281,SOCIETE PHONIE MOTORS ZI SAINT GOBAIN MEGRINE,INDUSTRIE,SOCIETE PHONIE MOTORS,AUTRES INDUSTRIES MECANIQUES + ELECTRIQUES
229301,GINOR GENERALE INDUSTRIE DU NORD BEN BECHIR JENDOUBA,INDUSTRIE,GINOR GENERALE INDUSTRIE,CONSERVERIES
229361,"SOGEMBAL ""SOCIETE GABESIENNE D'EMBALLAGE"" BP N° 3 MATOUIA GABES",INDUSTRIE,"SOGEMBAL ""SOCIETE GABESIENNE D'EMBALLAGE""",COMMERCE
229421,BUANDERIE DE DJERBA ZONE INDUSTRIELLE BOUHJAR,INDUSTRIE,BUANDERIE DE DJERBA,AUTRES INDUSTRIES DIVERSES
229431,"ENTREPRISES GLOULOU MOHAMED ET SALEM ""EGBR"" ROUTE DE SOUSSE M'SAKEN",INDUSTRIE,"ENTREPRISES GLOULOU MOHAMED ET SALEM ""EGBR""",INDUSTRIES DU VERRE
229441,STE BRIQUETERIE JBEL OUEST GP1 KLM 12 BOUMHEL,INDUSTRIE,STE BRIQUETERIE JBEL OUEST,EXTRACT.ET FACONNAGE DES PROD.CARRIERES
229451,NAFTAL,INDUSTRIE,NAFTAL,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ
229491,"MINERALI INDUSTRIALI TUNISIA ""MIT"" CITE HACHED OUSLATIA",INDUSTRIE,"MINERALI INDUSTRIALI TUNISIA ""MIT""",INDUSTRIES DES BOISSONS
229511,"SOCIETE AFRIQUE ACIER "" S A F A C "" ROUTE MORNAG KM 72",INDUSTRIE,"SOCIETE AFRIQUE ACIER "" S A F A C """,COMMERCE
229521,"P E C PLUS "" PLASTIC ELECTROMECHANIC COMPANY PLUS BP 226 ZI HAMMAM ZRIBA ZAGHOUAN",INDUSTRIE,"P E C PLUS "" PLASTIC ELECTROMECHANIC COMPANY PLUS",COMMERCE
229551,MEDIBAT 08 RUE HABIB CHRITA APP 2EME ETAGE ARIANA,INDUSTRIE,MEDIBAT,BATIMENT ET TRAVAUX PUBLICS
229561,AUTO SERVICES TUNISIE,INDUSTRIE,AUTO SERVICES TUNISIE,"ACTIVITES CONSEIL,REPARATION ET ENTRETIEN"
229591,SOCIETE SOTPAC 2 RUE AVICENNE RADES BEN AROUS,INDUSTRIE,SOCIETE SOTPAC,BATIMENT ET TRAVAUX PUBLICS
229601,AFRIQUE METAL ZI TEBOURSOUK PB/12,INDUSTRIE,AFRIQUE METAL,AUTRES INDUSTRIES MECANIQUES + ELECTRIQUES
229631,SOCIETE ECOMAT S.A C 41 LAC CONSTANCE G CENE LES BERGES DU LAC,INDUSTRIE,SOCIETE ECOMAT S.A,COMMERCE
229651,LA FORESTIERE DE TUNISIE ROUTE DE TUNIS KM 3 HERGLA SOUSSE,INDUSTRIE,LA FORESTIERE,AUTRES INDUSTRIES DIVERSES
229681,BRIQUETERIE KALAA SGHIRA ROUTE DE SOUSSE KM2 KALAA SGHIRA,INDUSTRIE,BRIQUETERIE KALAA SGHIRA,EXTRACT.ET FACONNAGE DES PROD.CARRIERES
229691,S O T E C A M 6 RUE TAHAR KASSAR EL MANAR 2 TUNIS,INDUSTRIE,S O T E C A M,EXTRACT.ET FACONNAGE DES PROD.CARRIERES
229711,SOCIETE DES MOULINS SIDI TLIL THELEPTE,INDUSTRIE,SOCIETE DES MOULINS,"ACTIVITES CONSEIL,REPARATION ET ENTRETIEN"
229771,OFFICE DES TERRES DOMANIALES USINE D'ALIMENTS CONCENTRES ENFIDHA BP85 ENFIDHA,INDUSTRIE,OFFICE DES TERRES DOMANIALES USINE D'ALIMENTS CONCENTRES ,AUTRES INDUSTRIES ALIMENTAIRES
229821,STE TUNISIA MULTICOAT SYSTEM AVERO RTE MAHDIA KM 13 BP 97HACHED SAKIET EDDAIER SFAX,INDUSTRIE,STE TUNISIA MULTICOAT SYSTEM AVERO,COMMERCE
229861,LILAS STE D 'ARTICLES HIGIENIQUES SAH RUE 8610 N° 5 ZI CHARGUIA 1 TUNIS,INDUSTRIE,LILAS STE D 'ARTICLES HIGIENIQUES SAH,COMMERCE
229901,PLASTIC ELECTROMECHANIC COMPANY BP 34 ZI HAMMAM ZRIBA ZAGHOUAN,INDUSTRIE,PLASTIC ELECTROMECHANIC COMPANY,FABRI.DE PRODUIT EN MATIERE PLASTIQUE
229911,SOCIETE T ET T STONE,INDUSTRIE,SOCIETE T ET T STONE KEBILI,IND.DU CIMEMT ET OUVRAGE EN CIMENT
229921,GALAXIC RUE ELOUROUD CITE CHAKER BORJ TOUIL RAOUED,INDUSTRIE,GALAXIC,AUTRES INDUSTRIES DIVERSES
229921,GALAXIC RUE SIDI BOUZID EL M'GHIRA FOUCHANA,INDUSTRIE,GALAXIC,AUTRES INDUSTRIES DIVERSES
229931,SOCIETE INDUSTRIELLE DE TRANSFORMATION Z.I ROUTE DE KORBOUS SOLIMAN BP 80,INDUSTRIE,SOCIETE INDUSTRIELLE DE TRANSFORMATION,FABRICATION D'ENGRAIE HEXENORE DRT TIMBRE
229941,SOCIETE MANSOUR DE FILATURE RUE DU MAROC KSIBET MEDIOUNI,INDUSTRIE,SOCIETE MANSOUR DE FILATURE,AUTRES INDUSTRIES TEXTILES
229951,T.U.T.T PLASTIQUES 041 IBN JAZZAR LA MARSA,INDUSTRIE,T.U.T.T PLASTIQUES,FABRI.DE PRODUIT EN MATIERE PLASTIQUE
229991,SOCIETE INTERCHAUX BP N0 2 THALA,INDUSTRIE,SOCIETE INTERCHAUX,IND.DU CIMEMT ET OUVRAGE EN CIMENT
230001,SOCIETE SOMAT 30 BIS RUE ALI BEN GHEDAHEM TUNIS,INDUSTRIE,SOCIETE SOMAT,IND.DU CIMEMT ET OUVRAGE EN CIMENT
