Compte ,Client ,Secteurs clients,Consolidation Client,Type Clients
245090,"SANDER GEOPHYSICS LIMITED 260, HUNT CLUB ROAD, OTTAWA, ONTARIO, K1V 1C1, CANADA ",AUTRES CLIENTS ETRANGERS,SANDER GEOPHYSICS LIMITED,AUTRES CLIENTS ETRANGERS
245100,"LLC IKAR 663021, Krasnoyarsk Airport, Build. 2a, Yemelianovsky region, Russia",AUTRES CLIENTS ETRANGERS,LLC IKAR,AUTRES CLIENTS ETRANGERS
245120,"AMIRI FLIGHT P.O. Box : 3320, Doha, Qatar",AUTRES CLIENTS ETRANGERS,AMIRI FLIGHT,AUTRES CLIENTS ETRANGERS
245150,"MAURITANIA AIRLINES Ancien Aérogare de Nouakchott, BP7991, Nouakchott, Mauritanie",AUTRES CLIENTS ETRANGERS,MAURITANIA AIRLINES,AUTRES CLIENTS ETRANGERS
245160,"Wolbern flight invest 1 GMBH & Co. KG Paribus Fondsdienstleistung GMBH, Palmaille 33-22767 Hamburg, Germany",AUTRES CLIENTS ETRANGERS,Wolbern flight invest 1 GMBH & Co. KG,AUTRES CLIENTS ETRANGERS
245170,"Wolbern flight invest 1 GMBH & Co. KG Paribus Fondsdienstleistung GMBH, Palmaille 33-22767 Hamburg, Germany",AUTRES CLIENTS ETRANGERS,Wolbern flight invest 1 GMBH & Co. KG,AUTRES CLIENTS ETRANGERS
245180,"ASL AIRLINES SWITZERLAND Baslerstrasse 101, CH-4123 Allschwil, Suisse",AUTRES CLIENTS ETRANGERS,ASL AIRLINES SWITZERLAND,AUTRES CLIENTS ETRANGERS
245200,"ASL AIRLINES IRELAND Ltd No.3 Malahide Road, Swords, Co. Dublin, K67 PP52, Ireland ",AUTRES CLIENTS ETRANGERS,ASL AIRLINES IRELAND,AUTRES CLIENTS ETRANGERS
245220,"AIR ARABIA Sharjah Freight Center(Cargo),Sharjah Inter Airport P.O. Box 132 U.A.E",AUTRES CLIENTS ETRANGERS,AIR ARABIA,AUTRES CLIENTS ETRANGERS
245230,"EXPRESS AIR CARGO 21 Rue des Entrepreneurs, Charguia II, Tunis, Tunisie ",AUTRES CLIENTS TUNISIENS,EXPRESS AIR CARGO,AUTRES CLIENTS TUNISIENS
245250,"MINISTERE DE L'INTERIEUR - DIR. GENERALE DES AFFAIRES ADMIN. ET FIN. 24 - 26 Av. de la Liberté, Tunis, Tunisie",AUTRES CLIENTS TUNISIENS,MINISTERE DE L'INTERIEUR,AUTRES CLIENTS TUNISIENS
